platform,discount,price,mrp,savings,title,rating,url,image
Amazon.in,50,33797,67594,33797,"LEGO City Passenger Airplane 60367 Building Toy Set; Fun Airplane STEM Toy for Kids with a Large Airplane, Passenger Bus, ...",4.8 out of 5 stars,https://www.amazon.in/dp/B0BXQ6H7GK,https://m.media-amazon.com/images/I/81O7ATQOy6L._AC_UL320_.jpg
Amazon.in,50,3499,6999,3500,"Lego Ultimate Robin, Multi Color",4.4 out of 5 stars,https://www.amazon.in/dp/B013GYA5RY,https://m.media-amazon.com/images/I/71Jm9OfN9gL._AC_UL320_.jpg
Amazon.in,50,3515,6999,3484,Lego 41694 LEGO Friends The Veterinary Clinic Ambulance,4.7 out of 5 stars,https://www.amazon.in/dp/B09BNTCY4N,https://m.media-amazon.com/images/I/610iEGE6qHL._AC_UL320_.jpg
Amazon.in,50,999,1999,1000,LEGO Disney Minnie Mouse Minifigure Keychain 853999,4.8 out of 5 stars,https://www.amazon.in/dp/B085TMTN53,https://m.media-amazon.com/images/I/61NlubFggEL._AC_UL320_.jpg
Amazon.in,50,999,1999,1000,LEGO City Police Officer Key Chain 853568,4.2 out of 5 stars,https://www.amazon.in/dp/B019VP2OE4,https://m.media-amazon.com/images/I/71AHi7PXChL._AC_UL320_.jpg
Amazon.in,50,499,999,500,LEGO Classic 630 Building Accessory - Brick and Axel Separator Tool (Dark Turquoise) 1 Piece,4.7 out of 5 stars,https://www.amazon.in/dp/B09JL9P7SK,https://m.media-amazon.com/images/I/41An9S+jlNL._AC_UL320_.jpg
Amazon.in,49,8218,16230,8012,"LEGO Friends 2024 Advent Calendar, Christmas Toy with 5 Characters and 3 Animals Included, Kids Building Kit for Girls and...",4.8 out of 5 stars,https://www.amazon.in/dp/B0CV27XPCY,https://m.media-amazon.com/images/I/81Zr7TTrc5L._AC_UL320_.jpg
Amazon.in,47,55138,104034,48896,"LEGO Technic The Batman – Batmobile 42127 Model Car Building Toy, 2022 Movie Set, Superhero Gifts for Kids and Teen Fans w...",4.8 out of 5 stars,https://www.amazon.in/dp/B09FM3NPK3,https://m.media-amazon.com/images/I/816zYOce1sL._AC_UL320_.jpg
Amazon.in,46,1606,2999,1393,Lego City Switch Train Tracks Building Blocks for Kids 5 to 12 Years 7895,4.7 out of 5 stars,https://www.amazon.in/dp/B000EXN8DY,https://m.media-amazon.com/images/I/81LVQHrF-4L._AC_UL320_.jpg
Amazon.in,45,66605,121799,55194,"LEGO Bird of Paradise 10289 Building Kit (1,173 Pcs),Multicolor",4.8 out of 5 stars,https://www.amazon.in/dp/B095T19BTY,https://m.media-amazon.com/images/I/71Ek24N2uyL._AC_UL320_.jpg
Amazon.in,44,42822,76468,33646,LEGO Harry Potter Hogwarts Express & Hogsmeade Station 76423 Building Toy Set; Harry Potter Gift Idea for Fans Aged 8+; Fe...,4.8 out of 5 stars,https://www.amazon.in/dp/B0BSRG79SZ,https://m.media-amazon.com/images/I/81k2q9pSo4L._AC_UL320_.jpg
Amazon.in,44,4490,7999,3509,"LEGO Ultimate Macy 3 scannable shields,Multi Color, 1 Piece",4.5 out of 5 stars,https://www.amazon.in/dp/B013GY9ZF2,https://m.media-amazon.com/images/I/61Uw+Eu-x6L._AC_UL320_.jpg
Amazon.in,44,2346,4199,1853,LEGO Minecraft Minifigure Skeleton,4.4 out of 5 stars,https://www.amazon.in/dp/B00PWEMF8E,https://m.media-amazon.com/images/I/410K7WXEYOL._AC_UL320_.jpg
Amazon.in,43,9099,15998,6899,"LEGO Mini Steamboat Willie GWP Exclusive (40659, 424pcs) | GWP Exclusive, 424pcs",4.8 out of 5 stars,https://www.amazon.in/dp/B0CLMHD7N7,https://m.media-amazon.com/images/I/61VPz1jeOML._AC_UL320_.jpg
Amazon.in,42,10050,17300,7250,Lego Education Large Building Plates 779286 (4 Pieces),4.7 out of 5 stars,https://www.amazon.in/dp/B0085Y3YV0,https://m.media-amazon.com/images/I/71cOU1CSV4L._AC_UL320_.jpg
Amazon.in,42,3480,6048,2568,LEGO 41686 Friends World of Magic: Stunts,4.8 out of 5 stars,https://www.amazon.in/dp/B08W5GYF6T,https://m.media-amazon.com/images/I/61SvuxrP-7L._AC_UL320_.jpg
Amazon.in,41,20001,33866,13865,"LEGO 75365 Star Wars Yavin 4 Rebel Base with 10 Minifigures Including Luke Skywalker, Princess Leia, Chewbacca and 2 Droid...",4.6 out of 5 stars,https://www.amazon.in/dp/B0BV7DSL33,https://m.media-amazon.com/images/I/91dE08DlluL._AC_UL320_.jpg
Amazon.in,41,19673,33344,13671,"LEGO Disney Frozen Elsa’s Ice Palace Building Set for Kids, Princess Castle with Anna and Elsa Mini-Doll Figures, Disney P...",4.9 out of 5 stars,https://www.amazon.in/dp/B0CV2BXJV8,https://m.media-amazon.com/images/I/81uAwjW92fL._AC_UL320_.jpg
Amazon.in,41,3678,6234,2556,LEGO Marvel Superheroes: Iron Man Minifigure - Mark 85 Armor,4.6 out of 5 stars,https://www.amazon.in/dp/B0CP34B9S6,https://m.media-amazon.com/images/I/71svVAqWl9L._AC_UL320_.jpg
Amazon.in,40,9908,16599,6691,LEGO Star Wars C-3PO Buildable Droid Figure 75398 - Building Blocks for Age 18+,4.8 out of 5 stars,https://www.amazon.in/dp/B0CWH3FMKS,https://m.media-amazon.com/images/I/51H6U78js-L._AC_UL320_.jpg
Amazon.in,40,6199,10398,4199,LEGO 41689 Friends Magic Ferris Wheel with Slide,4.8 out of 5 stars,https://www.amazon.in/dp/B08WWS4QPT,https://m.media-amazon.com/images/I/91mUZSqfVgS._AC_UL320_.jpg
